Conword,Local,Type,Gender,Definitions
puwa gulwaj,to force upon,verb,,"used as in ""not take no for a answer"", ""you will eat all this food that I am giving you"""
puwa jinn,to bite,verb,,
puwa tarr,to die,verb,,lit. big sleep1d - x dies2 - x kills y
rrunn,to rain,verb,,0d - it's raining1 x cries
rrurta,rain,noun,inanimate,
rrurtawalu,cloud,noun,inanimate,rain cloud
taari,log,noun,inanimate,"means also ""dead tree"""
taarirki,wood,noun,inanimate,
tann,to be far,verb,,"2d: x is far from y (x subj, y rev)"
tarlu,lake,noun,inanimate,
tarnirr,to rain,verb,,"0d - it rains1 - x gets wet2 - x wets yThere is no adjective for wet, so the intrans form of this verb must be used instead."
tarr,to sleep,verb,,1d - x sleeps
tii,moon,noun,inanimate,
tiiku,night,noun,inanimate,
tiirr,to care for,verb,,"to care for, look after"
tinn,to protect,verb,,2d x protects y3 x protects y using z (z inst)
tinyu,camp,noun,inanimate,
tirwa,route,noun,inanimate,"route, way"
tuja,eight,,,
tujunn,slow,adjective,,
tumunya,"short, narrow",adjective,,"applies to an object, derived from munya (long, wide)"
tumwa,sand,noun,inanimate,
tumwaku,white,adjective,,
turna,cool,adjective,,environmental; between roughly 0 and 15 degrees
turrayi,canoe,noun,inanimate,
tuwilwa,dangerous,adjective,,
tuyaangi,short,adjective,,applies to distance in the context of travel
waju,face,noun,inanimate,
walj,to sit,verb,,1d - x sits
waljunn,to canoe,verb,,"derived from compounding walj (""to sit"") and junn (""to swim"").1d - x canoes2d - x canoes to y (y in locative)"
walma,hut,noun,inanimate,
walu,cloud,noun,inanimate,non-rain cloud
wann,to know,verb,,"to know facts from experience
1d: x knows
2: x knows y
3: x knows y because of z (INST)
Aux: wunn"
wanyu,heart,noun,inanimate,
wanyuuwa,chest,noun,inanimate,
winn,to jump,verb,,2d – x jumps LOC
wiilyu,father,noun,animate,father
wiingu,man,noun,animate,"literally ""fire-person"""
wiingu,man,noun,animate,lit. fire-person
wiingurki,boy,noun,animate,
wiirr,to go,verb,,"2d: x goes to y (y locative)3: x goes to y by way of z (y,z locative)or3: x goes to y with z (z comitative)"
wilwa,safe,adjective,,
wirra,blood,adjective,,
wirraku,red,adjective,,
wirrangu,parent,noun,animate,can be masculine or feminine
waljunn,to canoe,verb,,"derived from compounding walj (""to sit"") and junn (""to swim"").1d - x canoes2d - x canoes to y (y in locative)"
wuj,to hold,verb,,1 - x is held2d - x holds y
wujunnalu,hand,noun,inanimate,
wulnni,never,adverb,,
wurlki,village,noun,inanimate,
wurna,coconut,noun,inanimate,
wurr,to be electrically storming,verb,,"Valences:d0 - impersonal, it is electrically storming; there is lightning1 - to be struck by lightningmax2 - to strike"
wuuganu,light,adjective,,"applies to rain, derived from ganu (heavy, of rain)"
wuugirra,light,adjective,,"of an object, derived from girra (heavy, of object)"
wuutarn,dry,adjective,,derived from negative prefix and verb tarnirr (to rain)
wuwurna,coconut tree,noun,inanimate,derived through partial reduplication from wurna (coconut)
wuwiirr,to find,verb,,"2d – x finds y,3 x finds y using ins"
yaangi,long,adjective,,applies to distance in the context of travel
yaj,to run,verb,,"2d - x runs to y (x subj, y loc)"
yaju,uncle,noun,animate,adult male of the same totem
yam,big,adjective,,"the absolute form of big, means bigger than a humanapplied to a human, it means tall"
yampu,big,adjective,,"the relative form of big, as in ""big for an x"""
yampupu,enormous,adjective,,derived from yampu (absolute big)
yanj,to steal,verb,,1 x steals2 x steals y3d x steals y from z (com)
yann,to catch,verb,,2d: x catches y3: x catches y with z (z instrumental)
yarr,to fall,verb,,1d x falls2 x falls into y (LOC)
Yawirra,the Land,noun,animate,refers to the dreamtime concept of the Land as an animate spiritual thing
Yawirrannalu,sacred place,noun,animate,derived from Yawirra (the land) and nnalu (ground/on the ground)
yi,five,,,
yiin,bad,adjective,,"bad as in ""to be bad"", morality"
yilyu,feather,noun,inanimate,
yirli,fruit,noun,inanimate,a general piece of fruit
yirlinga,basket,noun,inanimate,derived from yirli (fruit) through the container suffix
yirlku,good,adjective,,"good as in ""to be good"", morality"
yirn,completedly,adverb,,adverb signifying that the action was fully completed
yuki,race,noun,inanimate,
yungi,arrow,noun,inanimate,
yungirna,quiver,noun,inanimate,derived from yungi (arrow)
yuni,lots,adjective,,
yuri,temperature,noun,inanimate,
yurlan,thick,adjective,,
yurlarlan,fat,adjective,,"of thickness, derived from yurlan (thick)"
yurli,dull,adjective,,
yurni,beautiful,adjective,,
yurr,to know,verb,,"to know facts from hearsay
1d: x knows
2: x knows y
3: x knows y on the authority of z (COM)
Aux: yirr"
yurri,bark,noun,inanimate,living
yuunii,bark,noun,inanimate,dead
yuurli,day,noun,inanimate,yuurli in orientative or revertive can mean tomorrow x days or yesterday x days when followed by number
yuyurri,trunk,noun,inanimate,
yirr,burn,verb,,"0d there is a bushfire
1 x burns
2 x lights a fire at y (LOC)"
wumpa,path,noun,inanimate,
mirra,full,adjective,,of container
tumirra,empty,adjective,,of container
tawpu,round,adjective,,
wa,name,noun,inanimate,
